Date,Adj Close_TEBE.JK,Close_TEBE.JK,High_TEBE.JK,Low_TEBE.JK,Open_TEBE.JK,Volume_TEBE.JK
2021-01-15,397.0062561035156,600.0,600.0,525.0,560.0,20100
2021-01-18,377.1559143066406,570.0,600.0,570.0,600.0,4700
2021-01-19,353.9972839355469,535.0,570.0,535.0,570.0,4700
2021-01-20,353.9972839355469,535.0,545.0,500.0,515.0,2200
2021-01-21,329.5152282714844,498.0,530.0,498.0,500.0,1800
2021-01-22,329.5152282714844,498.0,498.0,498.0,498.0,10100
2021-01-25,390.38946533203125,590.0,600.0,482.0,498.0,19100
2021-01-26,363.92242431640625,550.0,590.0,550.0,590.0,5200
2021-01-27,344.07208251953125,520.0,545.0,520.0,520.0,1900
2021-01-28,322.8984375,488.0,488.0,486.0,486.0,3700
2021-01-29,344.07208251953125,520.0,520.0,454.0,488.0,4200
2021-02-01,344.07208251953125,520.0,520.0,484.0,520.0,1200
2021-02-02,324.22174072265625,490.0,560.0,490.0,535.0,4300
2021-02-03,322.8984375,488.0,490.0,488.0,490.0,6300
2021-02-04,303.048095703125,458.0,605.0,454.0,482.0,10600
2021-02-05,304.3714294433594,460.0,550.0,458.0,458.0,20900
2021-02-08,297.75469970703125,450.0,460.0,450.0,460.0,1600
2021-02-09,304.3714294433594,460.0,460.0,456.0,456.0,900
2021-02-10,303.048095703125,458.0,550.0,442.0,442.0,17800
2021-02-11,317.60498046875,480.0,510.0,480.0,510.0,1700
2021-02-15,317.60498046875,480.0,480.0,448.0,460.0,37600
2021-02-16,304.3714294433594,460.0,480.0,448.0,480.0,26500
2021-02-17,310.98822021484375,470.0,575.0,452.0,458.0,75100
2021-02-18,296.43133544921875,448.0,460.0,448.0,460.0,27800
2021-02-19,296.43133544921875,448.0,448.0,448.0,448.0,100
2021-02-22,316.2816467285156,478.0,478.0,436.0,448.0,10800
2021-02-23,314.9582824707031,476.0,476.0,450.0,458.0,9700
2021-02-24,295.10797119140625,446.0,470.0,446.0,460.0,74300
2021-02-25,295.10797119140625,446.0,446.0,446.0,446.0,5200
2021-02-26,295.10797119140625,446.0,446.0,446.0,446.0,2700
2021-03-01,284.5211486816406,430.0,450.0,430.0,436.0,75900
2021-03-02,295.10797119140625,446.0,450.0,430.0,450.0,2900
2021-03-03,295.10797119140625,446.0,446.0,446.0,446.0,100
2021-03-04,284.5211486816406,430.0,446.0,430.0,444.0,6000
2021-03-05,273.9342956542969,414.0,418.0,410.0,416.0,72500
2021-03-08,276.5810241699219,418.0,424.0,398.0,414.0,48300
2021-03-09,258.0540771484375,390.0,430.0,390.0,430.0,206400
2021-03-10,273.9342956542969,414.0,420.0,394.0,420.0,23700
2021-03-12,255.40736389160156,386.0,414.0,386.0,414.0,52300
2021-03-15,252.7606201171875,382.0,386.0,382.0,386.0,34400
2021-03-16,250.1139373779297,378.0,380.0,378.0,378.0,34400
2021-03-17,244.82052612304688,370.0,380.0,370.0,378.0,4200
2021-03-18,288.4912109375,436.0,458.0,370.0,370.0,34700
2021-03-19,287.1678466796875,434.0,450.0,434.0,438.0,108800
2021-03-22,267.3175354003906,404.0,432.0,404.0,432.0,3000
2021-03-23,265.99420166015625,402.0,410.0,402.0,402.0,4200
2021-03-24,258.0540771484375,390.0,402.0,378.0,402.0,4500
2021-03-25,269.9642639160156,408.0,450.0,402.0,402.0,104900
2021-03-26,272.6109619140625,412.0,414.0,408.0,408.0,8400
2021-03-29,275.25762939453125,416.0,424.0,416.0,424.0,800
2021-03-30,256.73077392578125,388.0,412.0,388.0,396.0,20400
2021-03-31,243.49717712402344,368.0,400.0,364.0,388.0,14600
2021-04-01,250.1139373779297,378.0,390.0,378.0,390.0,1100
2021-04-05,238.20375061035156,360.0,400.0,360.0,376.0,7900
2021-04-06,231.58694458007812,350.0,372.0,336.0,366.0,43800
2021-04-07,231.58694458007812,350.0,370.0,336.0,350.0,45200
2021-04-08,222.32350158691406,336.0,370.0,328.0,330.0,19900
2021-04-09,222.32350158691406,336.0,336.0,328.0,328.0,1100
2021-04-12,217.03009033203125,328.0,336.0,328.0,336.0,33900
2021-04-13,217.03009033203125,328.0,330.0,328.0,328.0,500
2021-04-14,218.35342407226562,330.0,340.0,330.0,330.0,1400
2021-04-15,221.0001220703125,334.0,336.0,330.0,330.0,1200
2021-04-16,217.03009033203125,328.0,334.0,328.0,334.0,7700
2021-04-19,224.97018432617188,340.0,408.0,336.0,408.0,56000
2021-04-20,214.3833770751953,324.0,340.0,320.0,340.0,2100
2021-04-21,236.88038635253906,358.0,404.0,318.0,322.0,85900
2021-04-22,230.2636260986328,348.0,358.0,334.0,358.0,55900
2021-04-23,226.29356384277344,342.0,380.0,326.0,326.0,33000
2021-04-26,236.88038635253906,358.0,398.0,336.0,342.0,79200
2021-04-27,221.0001220703125,334.0,336.0,334.0,336.0,700
2021-04-28,244.82052612304688,370.0,416.0,368.0,368.0,81300
2021-04-29,305.69482421875,462.0,462.0,380.0,390.0,1490700
2021-04-30,380.4643249511719,575.0,575.0,500.0,510.0,654800
2021-05-03,380.4643249511719,575.0,710.0,535.0,620.0,2391900
2021-05-04,353.9972839355469,535.0,605.0,535.0,580.0,401900
2021-05-05,329.5152282714844,498.0,535.0,498.0,535.0,83800
2021-05-06,360.6140441894531,545.0,620.0,464.0,498.0,2745600
2021-05-07,337.455322265625,510.0,555.0,510.0,555.0,827400
2021-05-10,320.25177001953125,484.0,510.0,480.0,510.0,250300
2021-05-11,325.5451354980469,492.0,498.0,478.0,484.0,188200
2021-05-17,303.048095703125,458.0,490.0,458.0,486.0,268600
2021-05-18,285.844482421875,432.0,458.0,428.0,458.0,162700
2021-05-19,265.99420166015625,402.0,430.0,402.0,430.0,142700
2021-05-20,252.7606201171875,382.0,402.0,374.0,402.0,145800
2021-05-21,314.9582824707031,476.0,476.0,376.0,382.0,520400
2021-05-24,293.7846374511719,444.0,550.0,444.0,496.0,384000
2021-05-25,295.10797119140625,446.0,460.0,418.0,424.0,190600
2021-05-27,299.07806396484375,452.0,470.0,428.0,446.0,137600
2021-05-28,283.1977844238281,428.0,452.0,428.0,452.0,16600
2021-05-31,296.43133544921875,448.0,448.0,424.0,428.0,94200
2021-06-02,287.1678466796875,434.0,448.0,418.0,448.0,130100
2021-06-03,284.5211486816406,430.0,434.0,408.0,434.0,94400
2021-06-04,271.28759765625,410.0,430.0,402.0,430.0,167600
2021-06-07,271.28759765625,410.0,410.0,400.0,410.0,66100
2021-06-08,260.70074462890625,394.0,428.0,390.0,402.0,95300
2021-06-09,256.73077392578125,388.0,414.0,382.0,394.0,46600
2021-06-10,263.34747314453125,398.0,398.0,370.0,392.0,141200
2021-06-11,291.1379089355469,440.0,460.0,390.0,400.0,203800
2021-06-14,272.6109619140625,412.0,440.0,410.0,440.0,134300
2021-06-15,276.5810241699219,418.0,418.0,392.0,410.0,146300
2021-06-16,262.0240783691406,396.0,402.0,394.0,400.0,140400
2021-06-17,262.0240783691406,396.0,408.0,388.0,394.0,162700
2021-06-18,262.0240783691406,396.0,398.0,376.0,394.0,105800
2021-06-21,258.0540771484375,390.0,390.0,380.0,382.0,39500
2021-06-22,258.0540771484375,390.0,396.0,380.0,396.0,14900
2021-06-23,252.7606201171875,382.0,400.0,372.0,390.0,43800
2021-06-24,255.40736389160156,386.0,386.0,378.0,378.0,49200
2021-06-25,314.9582824707031,476.0,476.0,386.0,386.0,156700
2021-06-28,293.7846374511719,444.0,482.0,444.0,482.0,161900
2021-06-29,275.25762939453125,416.0,444.0,414.0,444.0,39300
2021-06-30,259.37744140625,392.0,416.0,388.0,416.0,80800
2021-07-01,289.8145446777344,438.0,438.0,374.0,392.0,130400
2021-07-02,304.3714294433594,460.0,460.0,408.0,438.0,123400
2021-07-05,283.1977844238281,428.0,486.0,428.0,460.0,1238600
2021-07-06,264.67083740234375,400.0,420.0,400.0,402.0,201000
2021-07-07,258.0540771484375,390.0,430.0,382.0,390.0,115200
2021-07-08,256.73077392578125,388.0,400.0,384.0,390.0,96200
2021-07-09,258.0540771484375,390.0,410.0,388.0,388.0,56000
2021-07-12,262.0240783691406,396.0,398.0,384.0,384.0,50300
2021-07-13,326.86846923828125,494.0,494.0,384.0,384.0,1269300
2021-07-14,304.3714294433594,460.0,500.0,460.0,494.0,572600
2021-07-15,283.1977844238281,428.0,428.0,428.0,428.0,36700
2021-07-16,264.67083740234375,400.0,400.0,400.0,400.0,131500
2021-07-19,255.40736389160156,386.0,428.0,374.0,380.0,412400
2021-07-21,258.0540771484375,390.0,406.0,384.0,388.0,161600
2021-07-22,258.0540771484375,390.0,398.0,390.0,390.0,88600
2021-07-23,263.34747314453125,398.0,400.0,390.0,400.0,26500
2021-07-26,252.7606201171875,382.0,398.0,380.0,398.0,269300
2021-07-27,258.0540771484375,390.0,394.0,384.0,394.0,31900
2021-07-28,260.70074462890625,394.0,404.0,390.0,392.0,50900
2021-07-29,258.0540771484375,390.0,406.0,384.0,406.0,63900
2021-07-30,256.73077392578125,388.0,400.0,386.0,390.0,37000
2021-08-02,252.7606201171875,382.0,392.0,382.0,384.0,119400
2021-08-03,247.4672088623047,374.0,388.0,374.0,382.0,114200
2021-08-04,246.14389038085938,372.0,386.0,372.0,376.0,152100
2021-08-05,246.14389038085938,372.0,394.0,370.0,374.0,188000
2021-08-06,251.43728637695312,380.0,386.0,364.0,374.0,76400
2021-08-09,248.79051208496094,376.0,382.0,370.0,382.0,61400
2021-08-10,255.40736389160156,386.0,398.0,376.0,380.0,146500
2021-08-12,248.79051208496094,376.0,386.0,376.0,386.0,60000
2021-08-13,250.1139373779297,378.0,414.0,372.0,372.0,446600
2021-08-16,251.43728637695312,380.0,388.0,372.0,386.0,293100
2021-08-18,251.43728637695312,380.0,380.0,376.0,380.0,69600
2021-08-19,251.43728637695312,380.0,398.0,378.0,380.0,243200
2021-08-20,250.1139373779297,378.0,390.0,378.0,380.0,97100
2021-08-23,260.70074462890625,394.0,398.0,376.0,378.0,62100
2021-08-24,251.43728637695312,380.0,400.0,378.0,400.0,59500
2021-08-25,280.55108642578125,424.0,452.0,390.0,390.0,1484100
2021-08-26,267.3175354003906,404.0,422.0,400.0,422.0,243600
2021-08-27,275.25762939453125,416.0,428.0,398.0,410.0,193900
2021-08-30,271.28759765625,410.0,416.0,398.0,416.0,38500
2021-08-31,265.99420166015625,402.0,440.0,400.0,408.0,133200
2021-09-01,265.99420166015625,402.0,426.0,400.0,402.0,116600
2021-09-02,271.28759765625,410.0,418.0,390.0,404.0,157700
2021-09-03,260.70074462890625,394.0,410.0,384.0,390.0,294300
2021-09-06,263.34747314453125,398.0,406.0,384.0,394.0,135500
2021-09-07,262.0240783691406,396.0,398.0,386.0,398.0,63900
2021-09-08,262.0240783691406,396.0,396.0,374.0,392.0,113300
2021-09-09,260.70074462890625,394.0,394.0,392.0,394.0,5500
2021-09-10,263.34747314453125,398.0,402.0,394.0,394.0,42500
2021-09-13,260.70074462890625,394.0,394.0,380.0,380.0,21600
2021-09-14,263.34747314453125,398.0,402.0,386.0,394.0,67800
2021-09-15,328.1918640136719,496.0,496.0,430.0,436.0,6174800
2021-09-16,410.2397766113281,620.0,620.0,550.0,550.0,8776900
2021-09-17,512.7996826171875,775.0,775.0,650.0,690.0,7459000
2021-09-20,539.266845703125,815.0,925.0,725.0,725.0,7251600
2021-09-21,529.3416748046875,800.0,890.0,770.0,850.0,2450600
2021-09-22,509.4913330078125,770.0,855.0,755.0,800.0,1892100
2021-09-23,486.3326110839844,735.0,790.0,730.0,750.0,784100
2021-09-24,453.2487487792969,685.0,740.0,685.0,735.0,971300
2021-09-27,436.70684814453125,660.0,685.0,650.0,685.0,1087900
2021-09-28,469.79071044921875,710.0,770.0,660.0,660.0,1524600
2021-09-29,469.79071044921875,710.0,765.0,710.0,725.0,1036300
2021-09-30,463.17388916015625,700.0,725.0,680.0,710.0,446800
2021-10-01,463.17388916015625,700.0,710.0,670.0,705.0,194100
2021-10-04,463.17388916015625,700.0,720.0,680.0,710.0,473800
2021-10-05,449.94036865234375,680.0,710.0,675.0,695.0,244000
2021-10-06,449.94036865234375,680.0,700.0,670.0,690.0,345000
